Player,PlayerLine,PlayerLine
AUTOLYCUS,Reenter,2
AUTOLYCUS,SCENE,2
AUTOLYCUS,Very,2
AUTOLYCUS,Why,2
AUTOLYCUS,hath,2
AUTOLYCUS,him,2
AUTOLYCUS,is,2
AUTOLYCUS,not,2
AUTOLYCUS,of,2
AUTOLYCUS,open,2
AUTOLYCUS,put,2
AUTOLYCUS,that,2
AUTOLYCUS,them,2
AUTOLYCUS,this,2
AUTOLYCUS,to,2
AUTOLYCUS,wife,2
BANQUO,And,11
BANQUO,That,7
BANQUO,The,5
BANQUO,In,4
BANQUO,As,3
BANQUO,By,3
BANQUO,Enter,3
BANQUO,I,3
BANQUO,Of,3
BANQUO,Thou,3
BANQUO,To,3
BANQUO,Are,2
BANQUO,Ay,2
BANQUO,But,2
BANQUO,For,2
BANQUO,How,2
BANQUO,It,2
BANQUO,Look,2
BANQUO,My,2
BANQUO,So,2
BANQUO,This,2
BANQUO,What,2
BANQUO,You,2
BAPTISTA,And,19
BAPTISTA,I,10
BAPTISTA,For,7
BAPTISTA,What,7
BAPTISTA,Why,7
BAPTISTA,But,6
BAPTISTA,Now,6
BAPTISTA,To,6
BAPTISTA,Exit,5
BAPTISTA,That,5
BAPTISTA,Enter,4
BAPTISTA,You,4
BAPTISTA,Exeunt,3
BAPTISTA,Gentlemen,3
BAPTISTA,Go,3
BAPTISTA,How,3
BAPTISTA,Or,3
BAPTISTA,She,3
BAPTISTA,The,3
BAPTISTA,Well,3
BAPTISTA,A,2
BAPTISTA,Ay,2
BAPTISTA,God,2
BAPTISTA,If,2
BAPTISTA,Is,2
BAPTISTA,Lucentio,2
BAPTISTA,Reenter,2
BAPTISTA,When,2
BAPTISTA,Your,2
BASSANIO,I,29
BASSANIO,And,28
BASSANIO,The,16
BASSANIO,To,15
BASSANIO,If,8
BASSANIO,That,8
BASSANIO,Which,8
BASSANIO,For,6
BASSANIO,You,6
BASSANIO,How,5
BASSANIO,In,5
BASSANIO,No,5
BASSANIO,This,5
BASSANIO,As,4
BASSANIO,But,4
BASSANIO,Have,4
BASSANIO,My,4
BASSANIO,O,4
BASSANIO,Of,4
BASSANIO,So,4
BASSANIO,By,3
BASSANIO,From,3
BASSANIO,Good,3
BASSANIO,Hath,3
BASSANIO,Here,3
BASSANIO,Nor,3
BASSANIO,Sweet,3
BASSANIO,When,3
BASSANIO,A,2
BASSANIO,Be,2
BASSANIO,Doth,2
BASSANIO,Enter,2
BASSANIO,Ere,2
BASSANIO,Exeunt,2
BASSANIO,Exit,2
BASSANIO,Gratiano,2
BASSANIO,Had,2
BASSANIO,Not,2
BASSANIO,Only,2
BASSANIO,Or,2
BASSANIO,Parts,2
BASSANIO,Reads,2
BASSANIO,SCENE,2
BASSANIO,Shylock,2
BASSANIO,Since,2
BASSANIO,Take,2
BASSANIO,Than,2
BASSANIO,There,2
BASSANIO,Thou,2
BASSANIO,Thy,2
BASSANIO,Tween,2
BASSANIO,We,2
BASSANIO,What,2
BASSANIO,Wherein,2
BASSANIO,Why,2
BASSANIO,Your,2
BASTARD,And,59
BASTARD,To,24
BASTARD,The,22
BASTARD,But,21
BASTARD,That,20
BASTARD,I,19
BASTARD,As,12
BASTARD,O,10
BASTARD,For,9
BASTARD,Your,9
BASTARD,Enter,8
BASTARD,Exeunt,8
BASTARD,Now,8
BASTARD,Of,8
BASTARD,SCENE,8
BASTARD,A,7
BASTARD,If,7
BASTARD,He,6
BASTARD,My,6
BASTARD,This,6
BASTARD,When,6
BASTARD,Who,6
BASTARD,With,6
BASTARD,From,5
BASTARD,Madam,5
BASTARD,What,5
BASTARD,ACT,4
BASTARD,An,4
BASTARD,At,4
BASTARD,By,4
BASTARD,How,4
BASTARD,Ill,4
BASTARD,In,4
BASTARD,Is,4
BASTARD,Or,4
BASTARD,Some,4
BASTARD,Then,4
BASTARD,Away,3
BASTARD,Be,3
BASTARD,Brother,3
BASTARD,Come,3
BASTARD,Exit,3
BASTARD,It,3
BASTARD,Let,3
BASTARD,Like,3
BASTARD,No,3
BASTARD,Not,3
BASTARD,Our,3
BASTARD,Out,3
BASTARD,Philip,3
BASTARD,Shall,3
BASTARD,Since,3
BASTARD,Sir,3
BASTARD,Their,3
BASTARD,Thou,3
BASTARD,Well,3
BASTARD,Why,3
BASTARD,Will,3
BASTARD,You,3
BASTARD,Alarums,2
BASTARD,Art,2
BASTARD,Even,2
BASTARD,Ha,2
BASTARD,Hath,2
BASTARD,Heres,2
BASTARD,Show,2
BASTARD,Sirrah,2
BASTARD,They,2
BASTARD,Till,2
BASTARD,Tis,2
BASTARD,Turn,2
BASTARD,Where,2
BASTARD,Whom,2
BASTARD,Yet,2
BEATRICE,I,15
BEATRICE,No,9
BEATRICE,You,6
BEATRICE,and,6
BEATRICE,Why,5
BEATRICE,Yea,5
BEATRICE,a,5
BEATRICE,the,5
BEATRICE,Do,4
BEATRICE,It,4
BEATRICE,O,4
BEATRICE,What,4
BEATRICE,he,4
BEATRICE,A,3
BEATRICE,And,3
BEATRICE,Exit,3
BEATRICE,For,3
BEATRICE,Very,3
BEATRICE,Will,3
BEATRICE,beard,3
BEATRICE,him,3
BEATRICE,in,3
BEATRICE,that,3
BEATRICE,you,3
BEATRICE,Good,2
BEATRICE,He,2
BEATRICE,How,2
BEATRICE,If,2
BEATRICE,In,2
BEATRICE,Is,2
BEATRICE,Speak,2
BEATRICE,The,2
BEATRICE,for,2
BEATRICE,had,2
BEATRICE,like,2
BEATRICE,man,2
BEATRICE,me,2
BEATRICE,not,2
BEATRICE,was,2
BELARIUS,The,21
BELARIUS,And,19
BELARIUS,To,15
BELARIUS,I,13
BELARIUS,As,9
BELARIUS,But,8
BELARIUS,This,8
BELARIUS,Of,7
BELARIUS,That,7
BELARIUS,He,6
BELARIUS,Thou,6
BELARIUS,Well,6
BELARIUS,In,5
BELARIUS,Is,5
BELARIUS,O,5
BELARIUS,For,4
BELARIUS,It,4
BELARIUS,My,4
BELARIUS,No,4
BELARIUS,Reenter,4
BELARIUS,They,4
BELARIUS,Was,4
BELARIUS,You,4
BELARIUS,Your,4
BELARIUS,A,3
BELARIUS,Are,3
